FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0000001,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000002,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000003,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000004,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000005,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000006,76526,Cg,Cg,Carboniferous granites,Mainly felsic intrusive rocks,Carboniferous,Gzhelian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000007,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000008,76526,Cg,Cg,Carboniferous granites,Mainly felsic intrusive rocks,Carboniferous,Gzhelian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000009,76537,Cv,Cv,Carboniferous felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Pennsylvanian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000010,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000011,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000012,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000013,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000014,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000015,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000016,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000017,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000018,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000019,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000020,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000021,76533,CPg,CPg,Carboniferous to Permian granites,Mainly felsic intrusive rocks,Carboniferous,Cisuralian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000022,76537,Cv,Cv,Carboniferous felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Pennsylvanian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000023,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000024,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000025,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000026,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000027,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000028,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000029,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000030,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000031,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000032,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000033,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000034,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000035,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000036,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000037,76560,JKl,JKs,Jurassic to Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Jurassic,LowerCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000038,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000039,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000040,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000041,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000042,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000043,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000044,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000045,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000046,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000047,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000048,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000049,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000050,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000051,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000052,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000053,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000054,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000055,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000056,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000057,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000058,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000059,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000060,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000061,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000062,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000063,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000064,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000065,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000066,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000067,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000068,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000069,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000070,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000071,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000072,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000073,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000074,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000075,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000076,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000077,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000078,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000079,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000080,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000081,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000082,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000083,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000084,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000085,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000086,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000087,76605,-Ppj,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Statherian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000088,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000089,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000090,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000091,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000092,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000093,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000094,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000095,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000096,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000097,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000099,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000101,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000102,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000098,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000100,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000103,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000104,76565,Ku,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000105,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0000106,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000107,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000108,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000109,76605,-Ppj,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Statherian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000110,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000111,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000112,76624,-Pppm,Ly,Paleoproterozoic amphibolite-facies metamorphics,Medium-grade metamorphic rocks generally with amphibolite-facies assemblages,Paleoproterozoic,Orosirian,medium grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0000113,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000114,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000115,76624,-Pppm,Ly,Paleoproterozoic amphibolite-facies metamorphics,Medium-grade metamorphic rocks generally with amphibolite-facies assemblages,Paleoproterozoic,Orosirian,medium grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0000116,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000117,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000118,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0000119,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000120,76605,-Ppj,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Statherian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000123,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000121,76605,-Ppj,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Statherian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000122,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000124,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000125,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000126,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000127,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000128,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000129,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000130,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000131,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000132,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000133,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000134,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000135,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000136,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0000137,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000138,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000139,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000140,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000141,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000142,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000143,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000144,76532,CPf,CP,Carboniferous to Permian felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Carboniferous,Cisuralian,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0000147,76592,-Pmn,LMs,Paleoproterozoic to Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000145,76654,-Pmh,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000146,76605,-Ppj,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Statherian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000148,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000149,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000150,76572,-Ppsd,Ld,Paleoproterozoic mafic intrusives,Dolerite gabbro and other mafic igneous rocks,Paleoproterozoic,Statherian,igneous mafic intrusive,gabbroic_rock
GA_GUP2.5M_0000151,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000152,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000153,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000154,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000155,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000156,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000157,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0000158,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000159,76536,Ec,Es,Cambrian sedimentary rocks,Predominantly sedimentary rocks,Cambrian,Furongian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000160,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0000161,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000162,76593,-Pps,LMs,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Calymmian,sedimentary,sedimentary_rock
GA_GUP2.5M_0000163,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000164,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0000165,76588,-Pprg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Orosirian,igneous felsic intrusive,granitoid
