FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003402,76623,-Ppam,Ly,Paleoproterozoic amphibolite-facies metamorphics,Medium-grade metamorphic rocks generally with amphibolite-facies assemblages,Paleoproterozoic,Statherian,medium grade metamorphic rock,metamorphic_rock
GA_GUP2.5M_0003401,76652,-Pmj,Ms,Mesoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Mesoproterozoic,Ectasian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003405,76546,DuCl,DCs,Devonian to Carboniferous volcaniclastic sedimentary rocks,Predominantly volcaniclastic sedimentary rocks,Devonian,Mississippian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003403,76567,Klv,Kv,Cretaceous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Cretaceous,LowerCretaceous,igneous mafic volcanic and igneous felsic volcanic,basalt
GA_GUP2.5M_0003406,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003407,76516,A3,As,Archean sedimentary rocks,Predominantly sedimentary rocks,Archean,Neoarchean,sedimentary,sedimentary_rock
GA_GUP2.5M_0003408,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003409,76567,Klv,Kv,Cretaceous felsic to mafic volcanics,Predominantly a bimodal mixture of mafic and felsic volcanics,Cretaceous,LowerCretaceous,igneous mafic volcanic and igneous felsic volcanic,basalt
GA_GUP2.5M_0003410,76542,Cze,Czu,Cenozoic regolith,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003411,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003412,76505,A2f,Af,Archean felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Archean,Neoarchean,igneous felsic volcanic,rhyolitoid
